Path,Type,Arguments,Return_Annotation,Summary (Docstring),Model_Name,Architecture,Future Exog,Historical Exog,Static Exog,Validation Support,Dropout,Scaler Support,Num_Arguments
neuralforecast.models.patchtst.RevIN,type,"num_features, eps, affine, subtract_last, non_norm",,RevIN (Reversible-Instance-Normalization),RevIN,Other/Generic,False,False,False,False,False,False,5
neuralforecast.models.tide.MLPResidual,type,"input_dim, hidden_size, output_dim, dropout, layernorm",,MLPResidual,MLPResidual,MLP/Linear-based,False,False,False,False,True,False,5
neuralforecast.models.tft.InterpretableMultiHeadAttention,type,"n_head, hidden_size, example_length, attn_dropout, dropout",,Base class for all neural network modules.,InterpretableMultiHeadAttention,Transformer-based,False,False,False,False,True,False,5
neuralforecast.models.rmok.RevINMultivariate,type,"num_features, eps, affine, subtract_last, non_norm",,ReversibleInstanceNorm1d for Multivariate models,RevINMultivariate,Other/Generic,False,False,False,False,False,False,5
neuralforecast.models.tft.TFTEmbedding,type,"hidden_size, stat_input_size, futr_input_size, hist_input_size, tgt_size",,Base class for all neural network modules.,TFTEmbedding,Other/Generic,False,False,False,False,False,False,5
neuralforecast.models.rmok.JacobiKANLayer,type,"input_dim, output_dim, degree, a, b",,https://github.com/SpaceLearner/JacobiKAN/blob/main/JacobiKANLayer.py,JacobiKANLayer,MLP/Linear-based,False,False,False,False,False,False,5
neuralforecast.models.autoformer.DataEmbedding,type,"c_in, exog_input_size, hidden_size, pos_embedding, dropout",,Base class for all neural network modules.,DataEmbedding,Other/Generic,False,False,False,False,True,False,5
neuralforecast.models.fedformer.FourierBlock,type,"in_channels, out_channels, seq_len, modes, mode_select_method",,Fourier block,FourierBlock,Other/Generic,False,False,False,False,False,False,5
neuralforecast.models.autoformer.AutoCorrelation,type,"mask_flag, factor, scale, attention_dropout, output_attention",,AutoCorrelation Mechanism with the following two phases:,AutoCorrelation,Other/Generic,False,False,False,False,True,False,5
neuralforecast.models.autoformer.AutoCorrelationLayer,type,"correlation, hidden_size, n_head, d_keys, d_values",,Auto Correlation Layer,AutoCorrelationLayer,Other/Generic,False,False,False,False,False,False,5
neuralforecast.models.HINT,type,"h, S, model, reconciliation, alias",,HINT,HINT,Other/Generic,False,False,False,False,False,False,5
neuralforecast.models.timellm.ReprogrammingLayer,type,"d_model, n_heads, d_keys, d_llm, attention_dropout",,ReprogrammingLayer,ReprogrammingLayer,Other/Generic,False,False,False,False,True,False,5
neuralforecast.models.timemixer.DataEmbedding_wo_pos,type,"c_in, d_model, dropout, embed_type, freq",,DataEmbedding_wo_pos,DataEmbedding_wo_pos,Other/Generic,False,False,False,False,True,False,5
neuralforecast.models.tcn.TemporalConvolutionEncoder,type,"in_channels, out_channels, kernel_size, dilations, activation",,Temporal Convolution Encoder,TemporalConvolutionEncoder,Other/Generic,False,False,False,False,False,False,5
neuralforecast.models.rmok.WaveKANLayer,type,"in_features, out_features, wavelet_type, with_bn, device",,This is a sample code for the simulations of the paper:,WaveKANLayer,MLP/Linear-based,False,False,False,False,False,False,5
neuralforecast.models.nbeats.TrendBasis,type,"n_basis, backcast_size, forecast_size, out_features, basis",,Base class for all neural network modules.,TrendBasis,Other/Generic,False,False,False,False,False,False,5
neuralforecast.models.informer.TransEncoderLayer,type,"attention, hidden_size, conv_hidden_size, dropout, activation",,Base class for all neural network modules.,TransEncoderLayer,Other/Generic,False,False,False,False,True,False,5
neuralforecast.models.itransformer.FullAttention,type,"mask_flag, factor, scale, attention_dropout, output_attention",,Base class for all neural network modules.,FullAttention,Transformer-based,False,False,False,False,True,False,5
neuralforecast.models.informer.ProbAttention,type,"mask_flag, factor, scale, attention_dropout, output_attention",,ProbAttention,ProbAttention,Transformer-based,False,False,False,False,True,False,5
neuralforecast.models.informer.AttentionLayer,type,"attention, hidden_size, n_heads, d_keys, d_values",,Base class for all neural network modules.,AttentionLayer,Transformer-based,False,False,False,False,False,False,5
neuralforecast.models.timexer.EnEmbedding,type,"n_vars, d_model, patch_len, dropout",,Base class for all neural network modules.,EnEmbedding,Other/Generic,False,False,False,False,True,False,4
neuralforecast.models.rmok.TaylorKANLayer,type,"input_dim, out_dim, order, addbias",,https://github.com/Muyuzhierchengse/TaylorKAN/,TaylorKANLayer,MLP/Linear-based,False,False,False,False,False,False,4
neuralforecast.models.timesnet.Inception_Block_V1,type,"in_channels, out_channels, num_kernels, init_weight",,Inception_Block_V1,Inception_Block_V1,Other/Generic,False,False,False,False,False,False,4
neuralforecast.models.tsmixer.FeatureMixing,type,"n_series, input_size, dropout, ff_dim",,FeatureMixing,FeatureMixing,Other/Generic,False,False,False,False,True,False,4
neuralforecast.models.tsmixerx.MixingLayerWithStaticExogenous,type,"h, dropout, ff_dim, stat_input_size",,MixingLayerWithStaticExogenous,MixingLayerWithStaticExogenous,Other/Generic,False,False,False,False,True,False,4
neuralforecast.models.tsmixer.MixingLayer,type,"n_series, input_size, dropout, ff_dim",,MixingLayer,MixingLayer,Other/Generic,False,False,False,False,True,False,4
neuralforecast.models.timellm.FlattenHead,type,"n_vars, nf, target_window, head_dropout",,FlattenHead,FlattenHead,Other/Generic,False,False,False,False,True,False,4
neuralforecast.models.tft.VariableSelectionNetwork,type,"hidden_size, num_inputs, dropout, grn_activation",,Base class for all neural network modules.,VariableSelectionNetwork,Other/Generic,False,False,False,False,True,False,4
neuralforecast.models.stemgnn.StockBlockLayer,type,"time_step, unit, multi_layer, stack_cnt",,StockBlockLayer,StockBlockLayer,Other/Generic,False,False,False,False,False,False,4
neuralforecast.models.timellm.PatchEmbedding,type,"d_model, patch_len, stride, dropout",,PatchEmbedding,PatchEmbedding,Other/Generic,False,False,False,False,True,False,4
neuralforecast.models.nbeats.SeasonalityBasis,type,"harmonics, backcast_size, forecast_size, out_features",,Base class for all neural network modules.,SeasonalityBasis,Other/Generic,False,False,False,False,False,False,4
neuralforecast.models.timemixer.TemporalEmbedding,type,"d_model, embed_type, freq",,Base class for all neural network modules.,TemporalEmbedding,Other/Generic,False,False,False,False,False,False,3
neuralforecast.models.tsmixer.TemporalMixing,type,"n_series, input_size, dropout",,TemporalMixing,TemporalMixing,Other/Generic,False,False,False,False,True,False,3
neuralforecast.models.dilated_rnn.ResLSTMLayer,type,"input_size, hidden_size, dropout",,Base class for all neural network modules.,ResLSTMLayer,RNN-based,False,False,False,False,True,False,3
neuralforecast.models.dilated_rnn.ResLSTMCell,type,"input_size, hidden_size, dropout",,Base class for all neural network modules.,ResLSTMCell,RNN-based,False,False,False,False,True,False,3
neuralforecast.models.dilated_rnn.LSTMCell,type,"input_size, hidden_size, dropout",,Base class for all neural network modules.,LSTMCell,RNN-based,False,False,False,False,True,False,3
neuralforecast.models.autoformer.Encoder,type,"attn_layers, conv_layers, norm_layer",,Autoformer encoder,Encoder,Other/Generic,False,False,False,False,False,False,3
neuralforecast.models.autoformer.Decoder,type,"layers, norm_layer, projection",,Autoformer decoder,Decoder,Other/Generic,False,False,False,False,False,False,3
neuralforecast.models.timemixer.MultiScaleTrendMixing,type,"seq_len, down_sampling_window, down_sampling_layers",,Top-down mixing trend pattern,MultiScaleTrendMixing,Other/Generic,False,False,False,False,False,False,3
neuralforecast.models.timemixer.MultiScaleSeasonMixing,type,"seq_len, down_sampling_window, down_sampling_layers",,Bottom-up mixing season pattern,MultiScaleSeasonMixing,Other/Generic,False,False,False,False,False,False,3
neuralforecast.models.dilated_rnn.AttentiveLSTMLayer,type,"input_size, hidden_size, dropout",,Base class for all neural network modules.,AttentiveLSTMLayer,RNN-based,False,False,False,False,True,False,3
neuralforecast.models.informer.TransDecoder,type,"layers, norm_layer, projection",,Base class for all neural network modules.,TransDecoder,Other/Generic,False,False,False,False,False,False,3
neuralforecast.models.nbeats.IdentityBasis,type,"backcast_size, forecast_size, out_features",,Base class for all neural network modules.,IdentityBasis,Other/Generic,False,False,False,False,False,False,3
neuralforecast.models.informer.TransEncoder,type,"attn_layers, conv_layers, norm_layer",,Base class for all neural network modules.,TransEncoder,Other/Generic,False,False,False,False,False,False,3
neuralforecast.models.tft.MaybeLayerNorm,type,"output_size, hidden_size, eps",,Base class for all neural network modules.,MaybeLayerNorm,Other/Generic,False,False,False,False,False,False,3
neuralforecast.models.itransformer.DataEmbedding_inverted,type,"c_in, hidden_size, dropout",,DataEmbedding_inverted,DataEmbedding_inverted,Other/Generic,False,False,False,False,True,False,3
neuralforecast.models.patchtst.Transpose,type,"dims, contiguous",,Transpose,Transpose,Other/Generic,False,False,False,False,False,False,2
neuralforecast.models.dlinear.MovingAvg,type,"kernel_size, stride",,Moving average block to highlight the trend of time series,MovingAvg,Other/Generic,False,False,False,False,False,False,2
neuralforecast.models.tsmixerx.ReversibleInstanceNorm1d,type,"n_series, eps",,Base class for all neural network modules.,ReversibleInstanceNorm1d,Other/Generic,False,False,False,False,False,False,2
neuralforecast.models.timemixer.PositionalEmbedding,type,"hidden_size, max_len",,Base class for all neural network modules.,PositionalEmbedding,Other/Generic,False,False,False,False,False,False,2
neuralforecast.models.softs.STAD,type,"d_series, d_core",,STar Aggregate Dispatch Module,STAD,Other/Generic,False,False,False,False,False,False,2
neuralforecast.models.stemgnn.GLU,type,"input_channel, output_channel",,GLU,GLU,Other/Generic,False,False,False,False,False,False,2
neuralforecast.models.timellm.TokenEmbedding,type,"c_in, d_model",,TokenEmbedding,TokenEmbedding,Other/Generic,False,False,False,False,False,False,2
neuralforecast.models.autoformer.SeriesDecomp,type,kernel_size,,Series decomposition block,SeriesDecomp,Other/Generic,False,False,False,False,False,False,1
neuralforecast.models.autoformer.MAE,type,horizon_weight,,Mean Absolute Error.,MAE,Other/Generic,False,False,False,False,False,False,1
neuralforecast.models.autoformer.LayerNorm,type,channels,,Special designed layernorm for the seasonal part,LayerNorm,Other/Generic,False,False,False,False,False,False,1
neuralforecast.models.nbeatsx.ExogenousBasis,type,forecast_size,,Base class for all neural network modules.,ExogenousBasis,Other/Generic,False,False,False,False,False,False,1
neuralforecast.models.informer.ConvLayer,type,c_in,,ConvLayer,ConvLayer,Other/Generic,False,False,False,False,False,False,1
neuralforecast.models.timellm.ReplicationPad1d,type,padding,,ReplicationPad1d,ReplicationPad1d,Other/Generic,False,False,False,False,False,False,1
neuralforecast.models.timemixer.DFT_series_decomp,type,top_k,,Series decomposition block,DFT_series_decomp,Other/Generic,False,False,False,False,False,False,1
