Path,Type,Arguments,Return_Annotation,Summary (Docstring)
neuralforecast.models.DeepAR,type,"h, input_size, h_train, lstm_n_layers, lstm_hidden_size, lstm_dropout, decoder_hidden_layers, decoder_hidden_size, trajectory_samples, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,DeepAR
neuralforecast.models.DeepNPTS,type,"h, input_size, hidden_size, batch_norm, dropout, n_layers, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,DeepNPTS
neuralforecast.models.DilatedRNN,type,"h, input_size, inference_input_size, cell_type, dilations, encoder_hidden_size, context_size, decoder_hidden_size, decoder_layers, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,DilatedRNN
neuralforecast.models.FEDformer,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, decoder_input_size_multiplier, version, modes, mode_select, hidden_size, dropout, n_head, conv_hidden_size, activation, encoder_layers, decoder_layers, MovingAvg_window, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,FEDformer
neuralforecast.models.GRU,type,"h, input_size, inference_input_size, h_train, encoder_n_layers, encoder_hidden_size, encoder_activation, encoder_bias, encoder_dropout, context_size, decoder_hidden_size, decoder_layers, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, recurrent, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,GRU
neuralforecast.models.HINT,type,"h, S, model, reconciliation, alias",,HINT
neuralforecast.models.Informer,type,"h, input_size, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, decoder_input_size_multiplier, hidden_size, dropout, factor, n_head, conv_hidden_size, activation, encoder_layers, decoder_layers, distil, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Informer
neuralforecast.models.KAN,type,"h, input_size, grid_size, spline_order, scale_noise, scale_base, scale_spline, enable_standalone_scale_spline, grid_eps, grid_range, n_hidden_layers, hidden_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, dataloader_kwargs, trainer_kwargs",,KAN
neuralforecast.models.LSTM,type,"h, input_size, inference_input_size, h_train, encoder_n_layers, encoder_hidden_size, encoder_bias, encoder_dropout, context_size, decoder_hidden_size, decoder_layers, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, recurrent, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,LSTM
neuralforecast.models.MLP,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, num_layers, hidden_size, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,MLP
neuralforecast.models.MLPMultivariate,type,"h, input_size, n_series, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, num_layers, hidden_size, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,MLPMultivariate
neuralforecast.models.NBEATS,type,"h, input_size, n_harmonics, n_polynomials, n_basis, basis, stack_types, n_blocks, mlp_units, dropout_prob_theta, activation, shared_weights, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,NBEATS
neuralforecast.models.NBEATSx,type,"h, input_size, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, n_harmonics, n_polynomials, stack_types, n_blocks, mlp_units, dropout_prob_theta, activation, shared_weights, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,NBEATSx
neuralforecast.models.NHITS,type,"h, input_size, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, stack_types, n_blocks, mlp_units, n_pool_kernel_size, n_freq_downsample, pooling_mode, interpolation_mode, dropout_prob_theta, activation, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,NHITS
neuralforecast.models.NLinear,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,NLinear
neuralforecast.models.PatchTST,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, encoder_layers, n_heads, hidden_size, linear_hidden_size, dropout, fc_dropout, head_dropout, attn_dropout, patch_len, stride, revin, revin_affine, revin_subtract_last, activation, res_attention, batch_normalization, learn_pos_embed, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,PatchTST
neuralforecast.models.RMoK,type,"h, input_size, n_series, futr_exog_list, hist_exog_list, stat_exog_list, taylor_order, jacobi_degree, wavelet_function, dropout, revin_affine, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Reversible Mixture of KAN
neuralforecast.models.RNN,type,"h, input_size, inference_input_size, h_train, encoder_n_layers, encoder_hidden_size, encoder_activation, encoder_bias, encoder_dropout, context_size, decoder_hidden_size, decoder_layers, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, recurrent, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,RNN
neuralforecast.models.SOFTS,type,"h, input_size, n_series, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, hidden_size, d_core, e_layers, d_ff, dropout, use_norm, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,SOFTS
neuralforecast.models.StemGNN,type,"h, input_size, n_series, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, n_stacks, multi_layer, dropout_rate, leaky_rate, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,StemGNN
neuralforecast.models.TCN,type,"h, input_size, inference_input_size, kernel_size, dilations, encoder_hidden_size, encoder_activation, context_size, decoder_hidden_size, decoder_layers, futr_exog_list, hist_exog_list, stat_exog_list, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TCN
neuralforecast.models.TFT,type,"h, input_size, tgt_size, stat_exog_list, hist_exog_list, futr_exog_list, hidden_size, n_head, attn_dropout, grn_activation, n_rnn_layers, rnn_type, one_rnn_initial_state, dropout, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TFT
neuralforecast.models.TSMixer,type,"h, input_size, n_series, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, n_block, ff_dim, dropout, revin, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TSMixer
neuralforecast.models.TSMixerx,type,"h, input_size, n_series, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, n_block, ff_dim, dropout, revin, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TSMixerx
neuralforecast.models.TiDE,type,"h, input_size, hidden_size, decoder_output_dim, temporal_decoder_dim, dropout, layernorm, num_encoder_layers, num_decoder_layers, temporal_width, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TiDE
neuralforecast.models.TimeLLM,type,"h, input_size, patch_len, stride, d_ff, top_k, d_llm, d_model, n_heads, enc_in, dec_in, llm, llm_config, llm_tokenizer, llm_num_hidden_layers, llm_output_attention, llm_output_hidden_states, prompt_prefix, dropout, stat_exog_list, hist_exog_list, futr_exog_list, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TimeLLM
neuralforecast.models.TimeMixer,type,"h, input_size, n_series, stat_exog_list, hist_exog_list, futr_exog_list, d_model, d_ff, dropout, e_layers, top_k, decomp_method, moving_avg, channel_independence, down_sampling_layers, down_sampling_window, down_sampling_method, use_norm, decoder_input_size_multiplier, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TimeMixer
neuralforecast.models.TimeXer,type,"h, input_size, n_series, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, patch_len, hidden_size, n_heads, e_layers, d_ff, factor, dropout, use_norm, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TimeXer
neuralforecast.models.TimesNet,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, hidden_size, dropout, conv_hidden_size, top_k, num_kernels, encoder_layers, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,TimesNet
neuralforecast.models.VanillaTransformer,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, decoder_input_size_multiplier, hidden_size, dropout, n_head, conv_hidden_size, activation, encoder_layers, decoder_layers, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,VanillaTransformer
neuralforecast.models.autoformer.AutoCorrelation,type,"mask_flag, factor, scale, attention_dropout, output_attention",,AutoCorrelation Mechanism with the following two phases:
neuralforecast.models.autoformer.AutoCorrelationLayer,type,"correlation, hidden_size, n_head, d_keys, d_values",,Auto Correlation Layer
neuralforecast.models.autoformer.Autoformer,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, decoder_input_size_multiplier, hidden_size, dropout, factor, n_head, conv_hidden_size, activation, encoder_layers, decoder_layers, MovingAvg_window, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Autoformer
neuralforecast.models.autoformer.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.autoformer.DataEmbedding,type,"c_in, exog_input_size, hidden_size, pos_embedding, dropout",,Base class for all neural network modules.
neuralforecast.models.autoformer.Decoder,type,"layers, norm_layer, projection",,Autoformer decoder
neuralforecast.models.autoformer.DecoderLayer,type,"self_attention, cross_attention, hidden_size, c_out, conv_hidden_size, MovingAvg, dropout, activation",,Autoformer decoder layer with the progressive decomposition architecture
neuralforecast.models.autoformer.Encoder,type,"attn_layers, conv_layers, norm_layer",,Autoformer encoder
neuralforecast.models.autoformer.EncoderLayer,type,"attention, hidden_size, conv_hidden_size, MovingAvg, dropout, activation",,Autoformer encoder layer with the progressive decomposition architecture
neuralforecast.models.autoformer.LayerNorm,type,channels,,Special designed layernorm for the seasonal part
neuralforecast.models.autoformer.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.autoformer.SeriesDecomp,type,kernel_size,,Series decomposition block
neuralforecast.models.bitcn.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.bitcn.BiTCN,type,"h, input_size, hidden_size, dropout, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,BiTCN
neuralforecast.models.bitcn.CustomConv1d,type,"in_channels, out_channels, kernel_size, padding, dilation, mode, groups",,Forward- and backward looking Conv1D
neuralforecast.models.bitcn.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.bitcn.TCNCell,type,"in_channels, out_channels, kernel_size, padding, dilation, mode, groups, dropout",,"Temporal Convolutional Network Cell, consisting of CustomConv1D modules."
neuralforecast.models.deepar.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.deepar.Decoder,type,"in_features, out_features, hidden_size, hidden_layers",,Multi-Layer Perceptron Decoder
neuralforecast.models.deepar.DeepAR,type,"h, input_size, h_train, lstm_n_layers, lstm_hidden_size, lstm_dropout, decoder_hidden_layers, decoder_hidden_size, trajectory_samples, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,DeepAR
neuralforecast.models.deepar.DistributionLoss,type,"distribution, level, quantiles, num_samples, return_params, horizon_weight, distribution_kwargs",,DistributionLoss
neuralforecast.models.deepar.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.deepnpts.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.deepnpts.DeepNPTS,type,"h, input_size, hidden_size, batch_norm, dropout, n_layers, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,DeepNPTS
neuralforecast.models.deepnpts.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.dilated_rnn.AttentiveLSTMLayer,type,"input_size, hidden_size, dropout",,Base class for all neural network modules.
neuralforecast.models.dilated_rnn.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.dilated_rnn.DRNN,type,"n_input, n_hidden, n_layers, dilations, dropout, cell_type, batch_first",,Base class for all neural network modules.
neuralforecast.models.dilated_rnn.DilatedRNN,type,"h, input_size, inference_input_size, cell_type, dilations, encoder_hidden_size, context_size, decoder_hidden_size, decoder_layers, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,DilatedRNN
neuralforecast.models.dilated_rnn.LSTMCell,type,"input_size, hidden_size, dropout",,Base class for all neural network modules.
neuralforecast.models.dilated_rnn.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.dilated_rnn.MLP,type,"in_features, out_features, activation, hidden_size, num_layers, dropout",,Multi-Layer Perceptron Class
neuralforecast.models.dilated_rnn.ResLSTMCell,type,"input_size, hidden_size, dropout",,Base class for all neural network modules.
neuralforecast.models.dilated_rnn.ResLSTMLayer,type,"input_size, hidden_size, dropout",,Base class for all neural network modules.
neuralforecast.models.dlinear.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.dlinear.DLinear,type,"h, input_size, stat_exog_list, hist_exog_list, futr_exog_list, exclude_insample_y, moving_avg_window, loss, valid_loss, max_steps, learning_rate, num_lr_decays, early_stop_patience_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, step_size, scaler_type, random_seed, drop_last_loader, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,DLinear
neuralforecast.models.dlinear.MAE,type,horizon_weight,,Mean Absolute Error.
neuralforecast.models.dlinear.MovingAvg,type,"kernel_size, stride",,Moving average block to highlight the trend of time series
neuralforecast.models.dlinear.SeriesDecomp,type,kernel_size,,Series decomposition block
neuralforecast.models.fedformer.AutoCorrelationLayer,type,"correlation, hidden_size, n_head, d_keys, d_values",,Auto Correlation Layer
neuralforecast.models.fedformer.BaseModel,type,"h, input_size, loss, valid_loss, learning_rate, max_steps, val_check_steps, batch_size, valid_batch_size, windows_batch_size, inference_windows_batch_size, start_padding_enabled, training_data_availability_threshold, n_series, n_samples, h_train, inference_input_size, step_size, num_lr_decays, early_stop_patience_steps, scaler_type, futr_exog_list, hist_exog_list, stat_exog_list, exclude_insample_y, drop_last_loader, random_seed, alias, optimizer, optimizer_kwargs, lr_scheduler, lr_scheduler_kwargs, dataloader_kwargs, trainer_kwargs",,Hooks to be used in LightningModule.
neuralforecast.models.fedformer.DataEmbedding,type,"c_in, exog_input_size, hidden_size, pos_embedding, dropout",,Base class for all neural network modules.
neuralforecast.models.fedformer.Decoder,type,"layers, norm_layer, projection",,FEDformer decoder
neuralforecast.models.fedformer.DecoderLayer,type,"self_attention, cross_attention, hidden_size, c_out, conv_hidden_size, MovingAvg, dropout, activation",,FEDformer decoder layer with the progressive decomposition architecture
neuralforecast.models.fedformer.Encoder,type,"attn_layers, conv_layers, norm_layer",,FEDformer encoder
